Darījumu skaits atlasē,Darījuma ID,Objekts,Īpašuma kadastra numurs,Adreses pieraksts,Novads,Pilsēta,Pagasts,Darījuma datums,"Darījuma summa, EUR",Zemes vienību kadastra apzīmējumi(saraksts) (viena darījuma ietvaros) ,Zemes daļas(skaitītājs),Zemes daļas(saucējs),"Pārdotā zemes kopplatība, m2 ",NĪLM grupas kods (lielākais pēc platības),NĪLM kodi(saraksts),Būvju skaits ,Būves kadastra apzīmējums,Būves daļas(skaitītājs),Būves daļas(saucējs),Būves lietošanas veida nosaukums,Būves lietošanas veida kods,Būves virszemes stāvu skaits,"Būves apbūves laukums, m2","Būves kopplatība, m2","Būves būvtilpums, m3",Būves ārsienu materiāla nosaukums,Būves ekspluatācijas uzsākšanas gads,"Būves fiziskais nolietojums, %",Būves kadastra apzīmējumu saraksts (viena darījuma ietvaros),Telpu grupu skaits (viena darījuma ietvaros),Dzīvokļu skaits (viena darījuma ietvaros),Telpu grupas kadastra apzīmējums,Telpu grupas daļas(skaitītājs),Telpu grupas daļas(saucējs),Telpu grupas lietošanas veida kods,Telpu grupas zemākais stāvs,Telpu grupas augstākais stāvs,"Telpu grupas platība, m2","Dzīvokļa kopplatība, m2",Telpu skaits telpu grupā,Istabu skaits dzīvoklī
24464,1156332,Dz,01009239053,"Aleksandra Čaka iela 101 - 5, Rīga, LV-1011",NULL,Rīga,NULL,9/5/2023,30000,01000330034,3350,76041,63.09, 07,"701(1164), 801(268)",4,01000330034001,3350,76041,Triju vai vairāku dzīvokļu mājas,1122,2,324.9,721.2,2766,"1102 - Koka brusas, 1103 - Koka dēļi",1900,50,"1000330034004, 1000330034003, 1000330034002, 1000330034001",0,1,01000330034001005,1,1,1122,2,2,33.5,33.5,2,1
24464,1158524,Dz,01009239393,"Aleksandra Čaka iela 101 - 7, Rīga, LV-1011",NULL,Rīga,NULL,8/10/2023,16500,01000330034,370,10863,48.77, 07,"701(1164), 801(268)",4,01000330034001,370,10863,Triju vai vairāku dzīvokļu mājas,1122,2,324.9,721.2,2766,"1102 - Koka brusas, 1103 - Koka dēļi",1900,50,"1000330034004, 1000330034003, 1000330034002, 1000330034001",0,1,01000330034001007,1,1,1122,2,2,25.9,25.9,2,1
24464,1151145,Dz,01009282393,"Aleksandra Čaka iela 104A - 54, Rīga, LV-1011",NULL,Rīga,NULL,7/26/2023,36034.98,01000340004,488,27723,23.32, 07,"702(386), 703(816), 801(123)",2,01000340004003,488,27723,Triju vai vairāku dzīvokļu mājas,1122,4,292.1,1049.9,4764,2907 - Māla ķieģeļi,1900,30,"1000340004003, 1000340004001",0,1,01000340004003008,1,1,1122,2,2,48.8,48.8,5,2
24464,1151148,Dz,01009282395,"Aleksandra Čaka iela 104A - 56, Rīga, LV-1011",NULL,Rīga,NULL,7/26/2023,37000,01000340004,461,27723,22.03, 07,"702(386), 703(816), 801(123)",2,01000340004003,461,27723,Triju vai vairāku dzīvokļu mājas,1122,4,292.1,1049.9,4764,2907 - Māla ķieģeļi,1900,30,"1000340004003, 1000340004001",0,1,01000340004003010,1,1,1122,3,3,46.1,46.1,6,2
24464,1124155,Dz,01009265521,"Aleksandra Čaka iela 105 - 23, Rīga, LV-1011",NULL,Rīga,NULL,1/12/2023,92000,01000330031,229,7100,44.7, 07,"601(96), 703(1077), 801(213)",2,01000330031001,229,7100,Triju vai vairāku dzīvokļu mājas,1122,6,379.4,1686.4,6749,2907 - Māla ķieģeļi,"1939, 2020",29,"1000330031002, 1000330031001",0,1,01000330031001018,1,1,1122,1,1,45.8,45.8,2,0
24464,1120943,Dz,01009265505,"Aleksandra Čaka iela 105 - 7, Rīga, LV-1011",NULL,Rīga,NULL,6/29/2022,60000,01000330031,47,1775,36.7, 07,"601(96), 703(1077), 801(213)",2,01000330031001,47,1775,Triju vai vairāku dzīvokļu mājas,1122,6,379.4,1686.4,6749,2907 - Māla ķieģeļi,"1939, 2020",29,"1000330031002, 1000330031001",0,1,01000330031001024,1,1,1122,3,3,37.6,37.6,3,2
24464,1143863,Dz,01000340003,"Aleksandra Čaka iela 106A - 29, Rīga, LV-1011",NULL,Rīga,NULL,6/13/2023,33000,01000340003,305,20122,19.83, 07,"702(490), 703(758), 801(60)",2,01000340003002,305,20122,Triju vai vairāku dzīvokļu mājas,1122,6,428.3,2178.8,9239,2908 - Silikātķieģeļi,1910,60,"1000340003002, 1000340003001",0,1,01000340003002009,1,1,1122,5,5,61,61,8,3
24464,1152736,Dz,01000340003,"Aleksandra Čaka iela 106A - 29, Rīga, LV-1011",NULL,Rīga,NULL,8/10/2023,96000,01000340003,305,20122,19.83, 07,"702(490), 703(758), 801(60)",2,01000340003002,305,20122,Triju vai vairāku dzīvokļu mājas,1122,6,428.3,2178.8,9239,2908 - Silikātķieģeļi,1910,60,"1000340003002, 1000340003001",0,1,01000340003002009,1,1,1122,5,5,61,61,8,3
24464,1151656,Dz,01009281361,"Aleksandra Čaka iela 113 - 63, Rīga, LV-1011",NULL,Rīga,NULL,7/20/2023,90000,01000330020,357,41821,16.92, 07,"702(1142), 703(634), 801(174), 902(32)",3,01000330020002,357,41821,Triju vai vairāku dzīvokļu mājas,1122,5,356,1473,6479,2907 - Māla ķieģeļi,1900,47,"1000330020003, 1000330020002, 1000330020001",0,1,01000330020002032,1,1,1122,5,5,35.7,35.7,3,1
24464,1158043,Dz,01009149000,"Aleksandra Čaka iela 116 - 4, Rīga, LV-1012",NULL,Rīga,NULL,7/18/2023,30800,01000350034,1414,34627,57.41, 07,"601(252), 702(1113), 1104(41)",4,01000350034001,1414,34627,Triju vai vairāku dzīvokļu mājas,1122,4,354.1,1270.2,5304,2907 - Māla ķieģeļi,1934,30,"1000350034006, 1000350034005, 1000350034002, 1000350034001",0,1,01000350034001004,1,1,1122,1,1,42.4,42.4,6,2
24464,1139407,Dz,01000330016,"Aleksandra Čaka iela 121 - 14, Rīga, LV-1011",NULL,Rīga,NULL,4/21/2023,44000,01000330016,319,11818,34.85, 07,"701(442), 703(763), 801(86)",4,01000330016001,319,11818,Triju vai vairāku dzīvokļu mājas,1122,6,261.1,1308.1,5358,2907 - Māla ķieģeļi,1910,55,"1000330016004, 1000330016003, 1000330016002, 1000330016001",0,1,01000330016001014,1,1,1122,6,6,30.8,30.8,3,1
24464,1140946,Dz,01009268474,"Aleksandra Čaka iela 123 - 1, Rīga, LV-1011",NULL,Rīga,NULL,3/30/2023,155925,01000330015,567,12344,95.08, 07,"703(1735), 801(335)",1,01000330015001,567,12344,Triju vai vairāku dzīvokļu mājas,1122,6,335.9,1414.4,5706,"2307 - Monolītais dzelzsbetons, 2907 - Māla ķieģeļi","1935, 2022",32,01000330015001,0,1,01000330015001001,1,1,1122,2,2,56.7,56.7,4,3
